sales_method,year,price_per_unit,margin
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,55.00,35%
Online,2021,70.00,25%
Online,2021,50.00,40%
Online,2021,55.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,55.00,35%
Online,2021,70.00,25%
Online,2021,50.00,40%
Online,2021,55.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,55.00,35%
Online,2021,70.00,25%
Online,2021,55.00,40%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,25%
Online,2021,45.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,45.00,40%
Online,2021,55.00,35%
Online,2021,60.00,25%
Online,2021,45.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,45.00,40%
Online,2021,55.00,35%
Online,2021,70.00,25%
Online,2021,55.00,40%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,25%
Online,2021,55.00,40%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,25%
Online,2021,40.00,45%
Online,2021,40.00,35%
Online,2021,30.00,25%
Online,2021,35.00,30%
Online,2021,50.00,35%
Online,2021,40.00,50%
Online,2021,40.00,45%
Online,2021,40.00,35%
Online,2021,30.00,25%
Online,2021,35.00,30%
Online,2021,50.00,35%
Online,2021,35.00,50%
Online,2021,35.00,45%
Online,2021,35.00,35%
Online,2021,25.00,25%
Online,2021,30.00,30%
Online,2021,45.00,35%
Online,2021,35.00,50%
Online,2021,35.00,45%
Online,2021,35.00,35%
Online,2021,25.00,25%
Online,2021,30.00,30%
Online,2021,50.00,35%
Online,2021,40.00,50%
Online,2021,50.00,45%
Online,2021,50.00,35%
Online,2021,45.00,25%
Online,2021,45.00,30%
Online,2021,55.00,35%
Online,2021,60.00,50%
Online,2021,55.00,45%
Online,2021,50.00,35%
Online,2021,50.00,25%
Online,2021,50.00,30%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,45%
Online,2021,60.00,35%
Online,2021,55.00,25%
Online,2021,55.00,30%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,45%
Online,2021,60.00,35%
Online,2021,55.00,25%
Online,2021,45.00,30%
Online,2021,55.00,35%
Online,2021,60.00,50%
Online,2021,55.00,45%
Online,2021,50.00,35%
Online,2021,40.00,25%
Online,2021,40.00,30%
Online,2021,50.00,35%
Online,2021,55.00,50%
Online,2021,55.00,45%
Online,2021,45.00,35%
Online,2021,45.00,25%
Online,2021,45.00,30%
Online,2021,55.00,35%
Online,2021,60.00,50%
Online,2021,55.00,45%
Online,2021,45.00,35%
Online,2021,45.00,25%
Online,2021,55.00,30%
Online,2021,70.00,35%
Online,2021,75.00,50%
Online,2021,70.00,45%
Online,2021,60.00,35%
Online,2021,60.00,25%
Online,2021,60.00,30%
Online,2021,70.00,35%
Online,2021,75.00,50%
Online,2021,35.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,30.00,40%
Online,2021,45.00,35%
Online,2021,35.00,50%
Online,2021,35.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,30.00,40%
Online,2021,45.00,35%
Online,2021,30.00,50%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,40.00,35%
Online,2021,30.00,50%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,45.00,35%
Online,2021,35.00,50%
Online,2021,45.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,50%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,50.00,40%
Online,2021,50.00,40%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,40%
Online,2021,60.00,35%
Online,2021,55.00,40%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,40%
Online,2021,60.00,35%
Online,2021,55.00,40%
Online,2021,45.00,40%
Online,2021,55.00,35%
Online,2021,60.00,50%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,30.00,40%
Online,2021,30.00,40%
Online,2021,40.00,35%
Online,2021,45.00,50%
Online,2021,45.00,40%
Online,2021,35.00,35%
Online,2021,35.00,40%
Online,2021,35.00,40%
Online,2021,45.00,35%
Online,2021,50.00,50%
Online,2021,45.00,40%
Online,2021,35.00,35%
Online,2021,40.00,40%
Online,2021,60.00,40%
Online,2021,75.00,35%
Online,2021,75.00,50%
Online,2021,70.00,40%
Online,2021,60.00,35%
Online,2021,60.00,40%
Online,2021,60.00,40%
Online,2021,70.00,35%
Online,2021,75.00,50%
Online,2021,35.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,30.00,40%
Online,2021,45.00,35%
Online,2021,35.00,50%
Online,2021,35.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,30.00,40%
Online,2021,45.00,35%
Online,2021,30.00,50%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,40.00,35%
Online,2021,30.00,50%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,45.00,35%
Online,2021,35.00,50%
Online,2021,45.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,50%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,50.00,40%
Online,2021,50.00,40%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,40%
Online,2021,60.00,35%
Online,2021,55.00,40%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,50%
Online,2021,65.00,40%
Online,2021,60.00,35%
Online,2021,55.00,40%
Online,2021,45.00,40%
Online,2021,55.00,35%
Online,2021,60.00,50%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,35.00,35%
Online,2021,40.00,50%
Online,2021,40.00,40%
Online,2021,30.00,35%
Online,2021,30.00,40%
Online,2021,30.00,40%
Online,2021,40.00,35%
Online,2021,40.00,50%
Online,2021,35.00,40%
Online,2021,25.00,35%
Online,2021,35.00,40%
Online,2021,65.00,40%
Online,2021,80.00,35%
Online,2021,80.00,50%
Online,2021,75.00,40%
Online,2021,65.00,35%
Online,2021,65.00,40%
Online,2021,65.00,40%
Online,2021,75.00,35%
Online,2021,80.00,50%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,30.00,40%
Online,2021,35.00,40%
Online,2021,50.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,30.00,40%
Online,2021,35.00,40%
Online,2021,50.00,35%
Online,2021,40.00,40%
Online,2021,45.00,40%
Online,2021,45.00,35%
Online,2021,35.00,40%
Online,2021,40.00,40%
Online,2021,55.00,35%
Online,2021,45.00,40%
Online,2021,45.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,45.00,40%
Online,2021,50.00,35%
Online,2021,40.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,40.00,40%
Online,2021,35.00,35%
Online,2021,30.00,40%
Online,2021,30.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,35.00,40%
Online,2021,35.00,40%
Online,2021,45.00,35%
Online,2021,50.00,40%
Online,2021,55.00,40%
Online,2021,45.00,35%
Online,2021,45.00,40%
Online,2021,45.00,40%
Online,2021,55.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,40.00,35%
Online,2021,45.00,40%
Online,2021,55.00,40%
Online,2021,65.00,35%
Online,2021,70.00,40%
Online,2021,65.00,40%
Online,2021,55.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,60.00,35%
Online,2021,65.00,40%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,40.00,35%
Online,2021,30.00,50%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,20.00,40%
Online,2021,25.00,40%
Online,2021,40.00,35%
Online,2021,25.00,50%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,25.00,50%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,40.00,35%
Online,2021,30.00,50%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,35.00,40%
Online,2021,35.00,40%
Online,2021,45.00,35%
Online,2021,50.00,50%
Online,2021,45.00,40%
Online,2021,40.00,35%
Online,2021,45.00,40%
Online,2021,45.00,40%
Online,2021,60.00,35%
Online,2021,65.00,50%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,50.00,40%
Online,2021,60.00,35%
Online,2021,65.00,50%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,50%
Online,2021,50.00,40%
Online,2021,45.00,35%
Online,2021,20.00,40%
Online,2021,20.00,40%
Online,2021,30.00,35%
Online,2021,35.00,50%
Online,2021,35.00,40%
Online,2021,25.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,35.00,35%
Online,2021,35.00,50%
Online,2021,30.00,40%
Online,2021,20.00,35%
Online,2021,30.00,40%
Online,2021,60.00,40%
Online,2021,75.00,35%
Online,2021,75.00,50%
Online,2021,70.00,40%
Online,2021,60.00,35%
Online,2021,60.00,40%
Online,2021,60.00,40%
Online,2021,70.00,35%
Online,2021,75.00,50%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,20.00,40%
Online,2021,20.00,40%
Online,2021,20.00,35%
Online,2021,10.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,40.00,35%
Online,2021,30.00,40%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,35.00,40%
Online,2021,35.00,40%
Online,2021,45.00,35%
Online,2021,45.00,40%
Online,2021,40.00,40%
Online,2021,35.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,55.00,35%
Online,2021,60.00,40%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,45.00,40%
Online,2021,45.00,40%
Online,2021,60.00,35%
Online,2021,65.00,40%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,40.00,35%
Online,2021,15.00,40%
Online,2021,15.00,40%
Online,2021,25.00,35%
Online,2021,30.00,40%
Online,2021,30.00,40%
Online,2021,20.00,35%
Online,2021,20.00,40%
Online,2021,20.00,40%
Online,2021,30.00,35%
Online,2021,30.00,40%
Online,2021,25.00,40%
Online,2021,15.00,35%
Online,2021,25.00,40%
Online,2021,55.00,40%
Online,2021,75.00,35%
Online,2021,75.00,40%
Online,2021,70.00,40%
Online,2021,60.00,35%
Online,2021,60.00,40%
Online,2021,60.00,40%
Online,2021,70.00,35%
Online,2021,75.00,40%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,20.00,40%
Online,2021,20.00,40%
Online,2021,20.00,35%
Online,2021,10.00,40%
Online,2021,20.00,40%
Online,2021,35.00,35%
Online,2021,25.00,40%
Online,2021,25.00,40%
Online,2021,25.00,35%
Online,2021,15.00,40%
Online,2021,20.00,40%
Online,2021,40.00,35%
Online,2021,30.00,40%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,35.00,40%
Online,2021,35.00,40%
Online,2021,45.00,35%
Online,2021,45.00,40%
Online,2021,40.00,40%
Online,2021,35.00,35%
Online,2021,40.00,40%
Online,2021,40.00,40%
Online,2021,55.00,35%
Online,2021,60.00,40%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,45.00,40%
Online,2021,45.00,40%
Online,2021,60.00,35%
Online,2021,65.00,40%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,50.00,40%
Online,2021,40.00,40%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,40%
Online,2021,40.00,35%
Online,2021,15.00,40%
Online,2021,15.00,40%
Online,2021,25.00,35%
Online,2021,30.00,40%
Online,2021,30.00,40%
Online,2021,20.00,35%
Online,2021,20.00,40%
Online,2021,20.00,40%
Online,2021,30.00,35%
Online,2021,30.00,40%
Online,2021,25.00,40%
Online,2021,15.00,35%
Online,2021,25.00,40%
Online,2021,55.00,40%
Online,2021,75.00,35%
Online,2021,75.00,40%
Online,2021,70.00,40%
Online,2021,60.00,35%
Online,2021,60.00,40%
Online,2021,60.00,40%
Online,2021,70.00,35%
Online,2021,75.00,40%
Online,2021,25.00,35%
Online,2021,25.00,35%
Online,2021,15.00,35%
Online,2021,20.00,35%
Online,2021,35.00,35%
Online,2021,25.00,35%
Online,2021,25.00,35%
Online,2021,25.00,35%
Online,2021,15.00,35%
Online,2021,20.00,35%
Online,2021,35.00,35%
Online,2021,20.00,35%
Online,2021,20.00,35%
Online,2021,20.00,35%
Online,2021,10.00,35%
Online,2021,20.00,35%
Online,2021,35.00,35%
Online,2021,25.00,35%
Online,2021,25.00,35%
Online,2021,25.00,35%
Online,2021,15.00,35%
Online,2021,20.00,35%
Online,2021,40.00,35%
Online,2021,30.00,35%
Online,2021,40.00,35%
Online,2021,40.00,35%
Online,2021,35.00,35%
Online,2021,35.00,35%
Online,2021,45.00,35%
Online,2021,45.00,35%
Online,2021,40.00,35%
Online,2021,35.00,35%
Online,2021,40.00,35%
Online,2021,40.00,35%
Online,2021,55.00,35%
Online,2021,60.00,35%
Online,2021,55.00,35%
Online,2021,50.00,35%
Online,2021,45.00,35%
Online,2021,45.00,35%
Online,2021,60.00,35%
Online,2021,65.00,35%
Online,2021,60.00,35%
Online,2021,55.00,35%
Online,2021,50.00,35%
Online,2021,40.00,35%
Online,2021,50.00,35%
Online,2021,55.00,35%
Online,2021,50.00,35%
Online,2021,40.00,35%
Online,2021,15.00,35%
Online,2021,15.00,35%
Online,2021,25.00,35%
Online,2021,30.00,35%
Online,2021,30.00,35%
Online,2021,20.00,35%
Online,2021,20.00,35%
Online,2021,20.00,35%
Online,2021,30.00,35%
Online,2021,30.00,35%
Online,2021,25.00,35%
Online,2021,15.00,35%
Online,2021,25.00,35%
Online,2021,55.00,35%
Online,2021,75.00,35%
Online,2021,75.00,35%
Online,2021,70.00,35%
Online,2021,60.00,35%
Online,2021,60.00,35%
Online,2021,60.00,35%
Online,2021,70.00,35%
Online,2021,75.00,35%
Online,2021,40.00,35%
Online,2021,40.00,30%
Online,2021,30.00,30%
Online,2021,35.00,30%
Online,2021,50.00,35%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,40.00,30%
Online,2021,30.00,30%
Online,2021,35.00,30%
Online,2021,50.00,35%
Online,2021,35.00,40%
Online,2021,40.00,35%
Online,2021,40.00,30%
Online,2021,30.00,30%
Online,2021,35.00,30%
Online,2021,50.00,35%
Online,2021,40.00,40%
Online,2021,40.00,35%
Online,2021,40.00,30%
Online,2021,30.00,30%
Online,2021,35.00,30%
Online,2021,60.00,35%
Online,2021,50.00,40%
Online,2021,60.00,35%
Online,2021,50.00,30%
Online,2021,45.00,30%
Online,2021,45.00,30%
Online,2021,55.00,35%
Online,2021,60.00,40%
Online,2021,45.00,35%
Online,2021,40.00,30%
Online,2021,35.00,30%
Online,2021,35.00,30%
Online,2021,45.00,35%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,45.00,30%
Online,2021,40.00,30%
Online,2021,40.00,30%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,50.00,35%
Online,2021,45.00,30%
Online,2021,40.00,30%
Online,2021,40.00,30%
Online,2021,50.00,35%
Online,2021,55.00,40%
Online,2021,45.00,35%
Online,2021,40.00,30%
Online,2021,35.00,30%
Online,2021,35.00,30%
Online,2021,45.00,35%
Online,2021,50.00,40%
Online,2021,55.00,35%
Online,2021,45.00,30%
Online,2021,45.00,30%
Online,2021,45.00,30%
Online,2021,55.00,35%
Online,2021,60.00,40%
Online,2021,55.00,35%
Online,2021,45.00,30%
Online,2021,45.00,30%
Online,2021,45.00,30%
Online,2021,60.00,35%
Online,2021,65.00,40%
Online,2021,60.00,35%
Online,2021,50.00,30%
Online,2021,50.00,30%
Online,2021,50.00,30%
Online,2021,60.00,35%
Online,2021,65.00,40%
Online,2021,35.00,35%
Online,2021,35.00,30%
Online,2021,25.00,30%
Online,2021,30.00,30%
Online,2021,45.00,35%
Online,2021,35.00,40%
Online,2021,35.00,35%
Online,2021,35.00,30%
Online,2021,25.00,30%
Online,2021,30.00,30%
Online,2021,45.00,35%
Online,2021,25.00,40%
Online,2021,30.00,35%
Online,2021,30.00,30%
Online,2021,20.00,30%
Online,2021,25.00,30%
Online,2021,40.00,35%
Online,2021,30.00,40%
Online,2021,30.00,35%
Online,2021,30.00,30%
Online,2021,20.00,30%
Online,2021,25.00,30%
In-store,2021,60.00,35%
In-store,2021,50.00,40%
In-store,2021,60.00,35%
In-store,2021,45.00,30%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,35%
In-store,2021,55.00,40%
In-store,2021,40.00,35%
In-store,2021,35.00,30%
In-store,2021,30.00,30%
In-store,2021,30.00,30%
In-store,2021,40.00,35%
In-store,2021,55.00,40%
In-store,2021,50.00,35%
In-store,2021,45.00,30%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,35%
In-store,2021,55.00,40%
In-store,2021,50.00,35%
In-store,2021,45.00,30%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,35%
In-store,2021,55.00,40%
In-store,2021,40.00,35%
In-store,2021,35.00,30%
In-store,2021,30.00,30%
In-store,2021,30.00,30%
In-store,2021,40.00,35%
In-store,2021,45.00,40%
In-store,2021,50.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,35%
In-store,2021,55.00,40%
In-store,2021,50.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,60.00,35%
In-store,2021,65.00,40%
In-store,2021,60.00,35%
In-store,2021,50.00,30%
In-store,2021,50.00,30%
In-store,2021,50.00,30%
In-store,2021,60.00,35%
In-store,2021,65.00,40%
In-store,2021,30.00,30%
In-store,2021,30.00,35%
In-store,2021,20.00,30%
In-store,2021,25.00,30%
In-store,2021,40.00,50%
In-store,2021,30.00,40%
In-store,2021,30.00,30%
In-store,2021,30.00,35%
In-store,2021,20.00,30%
In-store,2021,25.00,30%
In-store,2021,40.00,50%
In-store,2021,15.00,40%
In-store,2021,20.00,30%
In-store,2021,20.00,35%
In-store,2021,10.00,30%
In-store,2021,15.00,30%
In-store,2021,30.00,50%
In-store,2021,20.00,40%
In-store,2021,20.00,30%
In-store,2021,20.00,35%
In-store,2021,10.00,30%
In-store,2021,15.00,30%
In-store,2021,60.00,50%
In-store,2021,50.00,40%
In-store,2021,60.00,30%
In-store,2021,40.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,45.00,50%
In-store,2021,50.00,40%
In-store,2021,35.00,30%
In-store,2021,30.00,35%
In-store,2021,25.00,30%
In-store,2021,25.00,30%
In-store,2021,35.00,50%
In-store,2021,55.00,40%
In-store,2021,50.00,30%
In-store,2021,45.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,50%
In-store,2021,55.00,40%
In-store,2021,50.00,30%
In-store,2021,45.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,50%
In-store,2021,55.00,40%
In-store,2021,35.00,30%
In-store,2021,30.00,35%
In-store,2021,25.00,30%
In-store,2021,25.00,30%
In-store,2021,35.00,50%
In-store,2021,40.00,40%
In-store,2021,45.00,30%
In-store,2021,35.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,45.00,50%
In-store,2021,50.00,40%
In-store,2021,45.00,30%
In-store,2021,35.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,60.00,50%
In-store,2021,65.00,40%
In-store,2021,60.00,30%
In-store,2021,50.00,35%
In-store,2021,50.00,30%
In-store,2021,50.00,30%
In-store,2021,60.00,50%
In-store,2021,65.00,40%
In-store,2021,30.00,30%
In-store,2021,30.00,35%
In-store,2021,20.00,30%
In-store,2021,25.00,30%
In-store,2021,40.00,50%
In-store,2021,30.00,40%
In-store,2021,30.00,30%
In-store,2021,30.00,35%
In-store,2021,20.00,30%
In-store,2021,25.00,30%
In-store,2021,40.00,50%
In-store,2021,15.00,40%
In-store,2021,20.00,30%
In-store,2021,20.00,35%
In-store,2021,10.00,30%
In-store,2021,15.00,30%
In-store,2021,30.00,50%
In-store,2021,20.00,40%
In-store,2021,20.00,30%
In-store,2021,20.00,35%
In-store,2021,10.00,30%
In-store,2021,15.00,30%
In-store,2021,60.00,50%
In-store,2021,50.00,40%
In-store,2021,60.00,30%
In-store,2021,40.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,45.00,50%
In-store,2021,50.00,40%
In-store,2021,35.00,30%
In-store,2021,30.00,35%
In-store,2021,25.00,30%
In-store,2021,25.00,30%
In-store,2021,35.00,50%
In-store,2021,55.00,40%
In-store,2021,50.00,30%
In-store,2021,45.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,50%
In-store,2021,55.00,40%
In-store,2021,50.00,30%
In-store,2021,45.00,35%
In-store,2021,40.00,30%
In-store,2021,40.00,30%
In-store,2021,50.00,50%
In-store,2021,55.00,40%
In-store,2021,35.00,30%
In-store,2021,30.00,35%
In-store,2021,25.00,30%
In-store,2021,25.00,30%
In-store,2021,35.00,50%
In-store,2021,40.00,40%
In-store,2021,45.00,30%
In-store,2021,35.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,45.00,50%
In-store,2021,50.00,40%
In-store,2021,45.00,30%
In-store,2021,35.00,35%
In-store,2021,35.00,30%
In-store,2021,35.00,30%
In-store,2021,60.00,50%
In-store,2021,65.00,40%
In-store,2021,60.00,30%
In-store,2021,50.00,35%
In-store,2021,50.00,30%
In-store,2021,50.00,30%
In-store,2021,60.00,50%
In-store,2021,65.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,25.00,35%
In-store,2021,30.00,35%
In-store,2021,45.00,30%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,25.00,35%
In-store,2021,30.00,35%
In-store,2021,45.00,30%
In-store,2021,20.00,40%
In-store,2021,25.00,40%
In-store,2021,25.00,40%
In-store,2021,15.00,35%
In-store,2021,20.00,35%
In-store,2021,35.00,30%
In-store,2021,25.00,40%
In-store,2021,25.00,40%
In-store,2021,25.00,40%
In-store,2021,15.00,35%
In-store,2021,20.00,35%
In-store,2021,65.00,30%
In-store,2021,50.00,40%
In-store,2021,60.00,40%
In-store,2021,40.00,40%
In-store,2021,35.00,35%
In-store,2021,35.00,35%
In-store,2021,45.00,30%
In-store,2021,55.00,40%
In-store,2021,40.00,40%
In-store,2021,35.00,40%
In-store,2021,30.00,35%
In-store,2021,30.00,35%
In-store,2021,40.00,30%
In-store,2021,60.00,40%
In-store,2021,55.00,40%
In-store,2021,50.00,40%
In-store,2021,45.00,35%
In-store,2021,45.00,35%
In-store,2021,55.00,30%
In-store,2021,60.00,40%
In-store,2021,50.00,40%
In-store,2021,45.00,40%
In-store,2021,40.00,35%
In-store,2021,40.00,35%
In-store,2021,50.00,30%
In-store,2021,55.00,40%
In-store,2021,35.00,40%
In-store,2021,30.00,40%
In-store,2021,25.00,35%
In-store,2021,25.00,35%
In-store,2021,35.00,30%
In-store,2021,40.00,40%
In-store,2021,45.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,35%
In-store,2021,35.00,35%
In-store,2021,45.00,30%
In-store,2021,50.00,40%
In-store,2021,45.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,35%
In-store,2021,35.00,35%
In-store,2021,60.00,30%
In-store,2021,65.00,40%
In-store,2021,60.00,40%
In-store,2021,50.00,40%
In-store,2021,50.00,35%
In-store,2021,50.00,35%
In-store,2021,60.00,30%
In-store,2021,65.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,25.00,40%
In-store,2021,30.00,40%
In-store,2021,45.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,40.00,40%
In-store,2021,30.00,40%
In-store,2021,35.00,40%
In-store,2021,50.00,40%
In-store,2021,25.00,40%
In-store,2021,30.00,40%
In-store,2021,30.00,40%
In-store,2021,20.00,40%
In-store,2021,25.00,40%
In-store,2021,40.00,40%
In-store,2021,30.00,40%
In-store,2021,30.00,40%
In-store,2021,30.00,40%
In-store,2021,20.00,40%
In-store,2021,25.00,40%
In-store,2021,65.00,40%
In-store,2021,50.00,40%
In-store,2021,60.00,40%
In-store,2021,40.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,45.00,40%
In-store,2021,55.00,40%
In-store,2021,45.00,40%
In-store,2021,40.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,45.00,40%
In-store,2021,65.00,40%
In-store,2021,60.00,40%
In-store,2021,55.00,40%
In-store,2021,50.00,40%
In-store,2021,50.00,40%
In-store,2021,60.00,40%
In-store,2021,65.00,40%
In-store,2021,50.00,40%
In-store,2021,45.00,40%
In-store,2021,40.00,40%
In-store,2021,40.00,40%
In-store,2021,50.00,40%
In-store,2021,55.00,40%
In-store,2021,35.00,40%
In-store,2021,30.00,40%
In-store,2021,25.00,40%
In-store,2021,25.00,40%
In-store,2021,35.00,40%
In-store,2021,40.00,40%
In-store,2021,45.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,45.00,40%
In-store,2021,50.00,40%
In-store,2021,45.00,40%
In-store,2021,35.00,40%
In-store,2021,35.00,40%
In-store,2021,40.00,40%
In-store,2021,65.00,40%
In-store,2021,70.00,40%
In-store,2021,65.00,40%
